"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2008","2008",27981549,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2009","2009",27921860,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2010","2010",27752099,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2011","2011",28271817,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2012","2012",28926274,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2013","2013",29614892,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2014","2014",30490389,,
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2015","2015",31233387,,
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2016","2016",32257759,,
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2000","2000",22713991,,
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2001","2001",22963602,,
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2002","2002",22786927,,
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2003","2003",23007029,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2004","2004",23131434,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2005","2005",23324240,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2006","2006",23562780,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2007","2007",24196085,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2008","2008",24008018,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2009","2009",24265020,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2010","2010",24181216,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2011","2011",24856168,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2012","2012",25629600,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2013","2013",26366730,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2014","2014",27385400,,
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2015","2015",28200572,,
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","40540","Sub-Saharan Africa","2016","2016",29189716,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2000","2000",41592616,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2001","2001",40469979,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2002","2002",39656119,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2003","2003",37944950,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2004","2004",36965738,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2005","2005",35417987,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2006","2006",34659946,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2007","2007",32454848,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2008","2008",32358240,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2009","2009",32608726,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2010","2010",33628015,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2011","2011",32161840,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2012","2012",32078046,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2013","2013",31961363,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2014","2014",32282076,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2015","2015",33091555,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2016","2016",33648956,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2000","2000",4878563,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2001","2001",4515851,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2002","2002",4181742,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2003","2003",3945226,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2004","2004",3711461,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2005","2005",3734483,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2006","2006",3649284,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2007","2007",3122551,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2008","2008",2791008,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2009","2009",2749660,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2010","2010",2628578,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2011","2011",3131217,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2012","2012",3193968,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2013","2013",3142096,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2014","2014",3254194,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2015","2015",3181524,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2016","2016",2940229,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2000","2000",22562688,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2001","2001",21980901,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2002","2002",21615994,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2003","2003",20750245,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2004","2004",20152172,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2005","2005",19379863,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2006","2006",18850889,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2007","2007",18220444,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2008","2008",17979314,"‡","UIS Estimation"
