Indicator,Country,Year,Value
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2012,17768998
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2013,17792223
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2014,17944415
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2015,18398266
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2016,18717211
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2000,19029928
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2001,18489079
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2002,18040125
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2003,17194705
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2004,16813567
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2005,16038124
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2006,15809058
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2007,14234405
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2008,14378926
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2009,14601967
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2010,15114259
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2011,14315053
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2012,14309048
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2013,14169140
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2014,14337661
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2015,14693289
"Out-of-school children of primary school age, male (number)",Africa (Sub-Saharan) ,2016,14931745
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2000,3276156
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2001,3037081
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2002,2822008
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2003,2627513
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2004,2471733
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2005,2439308
